geoid,name,tenure,income_band,burden,estimate,moe,cv,reliability
51127,New Kent County,Renter,50-80% AMI,Cost-burdened,25,64.03124237432849,155.69906960323036,Low
51127,New Kent County,Renter,50-80% AMI,Severely cost-burdened,0,55.90169943749474,NA,NA
51127,New Kent County,Renter,80-100% AMI,Not cost-burdened,4,50.08991914547278,761.2449718156956,Low
51127,New Kent County,Renter,80-100% AMI,Cost-burdened,10,54.62600113499065,332.0729552279067,Low
51127,New Kent County,Renter,80-100% AMI,Severely cost-burdened,0,55.90169943749474,NA,NA
51127,New Kent County,Renter,100%+ AMI,Not cost-burdened,265,115.71948841919411,26.545733421848738,Medium
51127,New Kent County,Renter,100%+ AMI,Cost-burdened,50,86.02325267042627,104.58754124063985,Low
51127,New Kent County,Renter,100%+ AMI,Severely cost-burdened,0,55.90169943749474,NA,NA
51145,Powhatan County,Owner,0-30% AMI,Not cost-burdened,155,111.30139262381222,43.65188454703882,Low
51145,Powhatan County,Owner,0-30% AMI,Cost-burdened,135,85.70880934886448,38.594533085157934,Low
51145,Powhatan County,Owner,0-30% AMI,Severely cost-burdened,205,103.47463457292324,30.684152886922156,Low
51145,Powhatan County,Owner,30-50% AMI,Not cost-burdened,350,165.00909065866645,28.65985074401502,Medium
51145,Powhatan County,Owner,30-50% AMI,Cost-burdened,185,110.8692924122816,36.431214133666835,Low
51145,Powhatan County,Owner,30-50% AMI,Severely cost-burdened,124,140.71247279470288,68.98346543519114,Low
51145,Powhatan County,Owner,50-80% AMI,Not cost-burdened,1050,309.22483729480723,17.902726142411765,Medium
51145,Powhatan County,Owner,50-80% AMI,Cost-burdened,250,159.30160074525304,38.7359515489977,Low
51145,Powhatan County,Owner,50-80% AMI,Severely cost-burdened,14,52.61178575186362,228.44891772411472,Low
51145,Powhatan County,Owner,80-100% AMI,Not cost-burdened,980,258.58460897740997,16.040233793028346,Medium
51145,Powhatan County,Owner,80-100% AMI,Cost-burdened,34,53.563046963368315,95.76800815907083,Low
51145,Powhatan County,Owner,80-100% AMI,Severely cost-burdened,4,56.88585061331157,864.5266050655254,Low
51145,Powhatan County,Owner,100%+ AMI,Not cost-burdened,6305,566.3214634816519,5.460243724950786,High
51145,Powhatan County,Owner,100%+ AMI,Cost-burdened,170,97.67804256842989,34.92867604807076,Low
51145,Powhatan County,Owner,100%+ AMI,Severely cost-burdened,70,86.86771552193599,75.43874556833346,Low
51145,Powhatan County,Renter,0-30% AMI,Not cost-burdened,50,78.40918313565064,95.33031384273633,Low
51145,Powhatan County,Renter,0-30% AMI,Cost-burdened,10,60.166435825965294,365.7534092763848,Low
51145,Powhatan County,Renter,0-30% AMI,Severely cost-burdened,75,78.70196947980399,63.790856721219036,Low
51145,Powhatan County,Renter,30-50% AMI,Not cost-burdened,70,73.68174807915459,63.98762316904436,Low
51145,Powhatan County,Renter,30-50% AMI,Cost-burdened,115,106.78014796768171,56.4451687420017,Low
51145,Powhatan County,Renter,30-50% AMI,Severely cost-burdened,55,79.25276020429824,87.59630859828488,Low
51145,Powhatan County,Renter,50-80% AMI,Not cost-burdened,199,152.66630276521403,46.63631310510425,Low
51145,Powhatan County,Renter,50-80% AMI,Cost-burdened,60,72.86288492778748,73.82257844760638,Low
51145,Powhatan County,Renter,50-80% AMI,Severely cost-burdened,0,62.609903369994115,NA,NA
51145,Powhatan County,Renter,80-100% AMI,Not cost-burdened,75,106.268527796333,86.13457166876027,Low
51145,Powhatan County,Renter,80-100% AMI,Cost-burdened,0,62.609903369994115,NA,NA
51145,Powhatan County,Renter,80-100% AMI,Severely cost-burdened,0,62.609903369994115,NA,NA
51145,Powhatan County,Renter,100%+ AMI,Not cost-burdened,260,142.67795905464865,33.35935446683391,Low
51145,Powhatan County,Renter,100%+ AMI,Cost-burdened,0,62.609903369994115,NA,NA
51145,Powhatan County,Renter,100%+ AMI,Severely cost-burdened,0,62.609903369994115,NA,NA
51760,Richmond city,Owner,0-30% AMI,Not cost-burdened,479,191.07590114925534,24.249595617675546,Medium
51760,Richmond city,Owner,0-30% AMI,Cost-burdened,505,169.5346572238255,20.40803601960041,Medium
51760,Richmond city,Owner,0-30% AMI,Severely cost-burdened,2910,505.7242331547896,10.56464415034186,High
51760,Richmond city,Owner,30-50% AMI,Not cost-burdened,1780,324.52118574909713,11.08299531262925,High
51760,Richmond city,Owner,30-50% AMI,Cost-burdened,1215,235.54405108174564,11.785010123293965,High
51760,Richmond city,Owner,30-50% AMI,Severely cost-burdened,1144,269.63308402345587,14.327857462933654,High
51760,Richmond city,Owner,50-80% AMI,Not cost-burdened,4000,449.78995097712,6.835713540685714,High
51760,Richmond city,Owner,50-80% AMI,Cost-burdened,2705,481.4426237881312,10.819603993238486,High
51760,Richmond city,Owner,50-80% AMI,Severely cost-burdened,570,197.2663174492797,21.038374388021087,Medium
51760,Richmond city,Owner,80-100% AMI,Not cost-burdened,3395,501.65526011395514,8.982550955301784,High
51760,Richmond city,Owner,80-100% AMI,Cost-burdened,575,202.48703662210082,21.40737799625752,Medium
51760,Richmond city,Owner,80-100% AMI,Severely cost-burdened,199,110.19981851164728,33.66370408628164,Low
51760,Richmond city,Owner,100%+ AMI,Not cost-burdened,23035,881.4034263604833,2.32605840685275,High
51760,Richmond city,Owner,100%+ AMI,Cost-burdened,680,182.34308322500198,16.301008691668333,Medium
51760,Richmond city,Owner,100%+ AMI,Severely cost-burdened,120,88,44.57953394123607,Low
51760,Richmond city,Renter,0-30% AMI,Not cost-burdened,2450,421.7226576791909,10.46393294905256,High
51760,Richmond city,Renter,0-30% AMI,Cost-burdened,2220,389.97051170569296,10.678564903356964,High
51760,Richmond city,Renter,0-30% AMI,Severely cost-burdened,11060,853.658011149664,4.692052804815205,High
51760,Richmond city,Renter,30-50% AMI,Not cost-burdened,1895,420.68634396661844,13.495323446491517,High
51760,Richmond city,Renter,30-50% AMI,Cost-burdened,4995,592.7857960511537,7.214336476916476,High
51760,Richmond city,Renter,30-50% AMI,Severely cost-burdened,2780,433.47433603386486,9.478785419821671,High
51760,Richmond city,Renter,50-80% AMI,Not cost-burdened,7160,817.1676694534605,6.937967341813354,High
51760,Richmond city,Renter,50-80% AMI,Cost-burdened,5205,700.5390781391143,8.181741056081968,High
51760,Richmond city,Renter,50-80% AMI,Severely cost-burdened,775,382.71399242776585,30.019726830298332,Low
51760,Richmond city,Renter,80-100% AMI,Not cost-burdened,5085,655.3647839180863,7.834769811897874,High
51760,Richmond city,Renter,80-100% AMI,Cost-burdened,920,249.70382456021773,16.499525872883424,Medium
51760,Richmond city,Renter,80-100% AMI,Severely cost-burdened,25,60.45659600076736,147.00692036660757,Low
51760,Richmond city,Renter,100%+ AMI,Not cost-burdened,11040,789.2014951835811,4.345631773840256,High
51760,Richmond city,Renter,100%+ AMI,Cost-burdened,275,152.21038072352357,33.64694793556752,Low
51760,Richmond city,Renter,100%+ AMI,Severely cost-burdened,15,66.12866246946176,267.9986320950831,Low
